canonical_id,work_id,title,years,production_year,favorite_count,my_list_count,primary_genre,source_origin,canonical_tags,classification_status,detail_url,attribute_source_url,attribute_fetched_at
danime:26097,26097,「青山オペレッタ THE STAGE ～ノーヴァ・ステラ／新しい星～」（ノーヴァ・ステラ版）,2021,2021,795,405,2.5次元舞台,,2.5次元舞台,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26097,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26097,2026-07-25T10:24:25.195Z
danime:26098,26098,青山オペレッタ THE STAGE ～ルーナ・ピエナ／満ちる月～（メイキング付）,2021,2021,558,282,2.5次元舞台,,2.5次元舞台,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26098,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26098,2026-07-25T10:24:25.195Z
danime:26099,26099,青山オペレッタ THE STAGE ～ファルチェ・インヴェルソ／逆さの三日月～（メイキング付）,2022,2022,559,264,2.5次元舞台,,2.5次元舞台|歴史・時代劇|音楽・アイドル|料理・グルメ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26099,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26099,2026-07-25T10:36:27.399Z
danime:26100,26100,劇場版 Free!–the Final Stroke– 前編,2021,2021,18108,20566,スポーツ・競技,,スポーツ・競技|ドラマ・青春|友情・仲間|成長・挑戦|スポーツ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26100,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26100,2026-07-25T10:24:25.195Z
danime:26102,26102,ミュージカル「黒執事」～寄宿学校の秘密～,2021,2021,3987,2365,2.5次元舞台,,2.5次元舞台|学園|職業・仕事,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26102,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26102,2026-07-25T10:24:25.195Z
danime:26103,26103,劇場版 PSYCHO-PASS サイコパス,2015,2015,33810,33531,SF,,SF|バトル・アクション|ホラー・サスペンス・ミステリー|ロボットSF|ロボット・メカ|犯罪・警察,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26103,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26103,2026-07-25T10:57:19.085Z
danime:26104,26104,PSYCHO-PASS サイコパス Sinners of the System Case.1 罪と罰,2019,2019,25025,23161,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|スペキュレーティブ判定保留,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26104,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26104,2026-07-25T10:24:27.710Z
danime:26105,26105,PSYCHO-PASS サイコパス Sinners of the System Case.2 First Guardian,2019,2019,22047,19766,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|スペキュレーティブ判定保留|犯罪・警察,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26105,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26105,2026-07-25T10:24:27.710Z
danime:26106,26106,PSYCHO-PASS サイコパス Sinners of the System Case.3 恩讐の彼方に＿＿,2019,2019,22171,20171,バトル・アクション,,バトル・アクション|ホラー・サスペンス・ミステリー|スペキュレーティブ判定保留,needs-review,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26106,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26106,2026-07-25T10:24:27.710Z
danime:26107,26107,海賊王女,2021,2021,29028,31044,ファンタジー,,ファンタジー|成長・挑戦|政治・戦略|職業・仕事,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26107,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26107,2026-07-25T10:24:25.195Z
danime:26108,26108,スラムダンク 決意の湘北バスケ部,1994,1994,5905,4433,スポーツ・競技,,スポーツ・競技|ドラマ・青春|成長・挑戦|スポーツ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26108,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26108,2026-07-25T10:21:27.736Z
danime:26112,26112,舞台「オッドタクシー 金剛石（ダイヤモンド）は傷つかない」上演記念～アニメ本編・舞台キャストリアクション動画,2023,2023,308,176,ホラー・サスペンス・ミステリー,,ホラー・サスペンス・ミステリー|ライブ・ラジオ・その他,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26112,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26112,2026-07-25T10:36:17.176Z
danime:26113,26113,がんばれ！ぼくらのヒットエンドラン,1979,1979,173,265,スポーツ・競技,,スポーツ・競技|ドラマ・青春|学園|成長・挑戦|スポーツ,classified,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26113,https://animestore.docomo.ne.jp/animestore/ci_pc?workId=26113,2026-07-25T10:43:51.506Z
